UID,NAME,SKU,REGULAR_PRICE,DISCOUNT_PRICE,DISCOUNT_PRICE_END_DATE,LOWEST_PRICE,DESCRIPTION,SHORT_DESCRIPTION,NOTE,STATUS,PRODUCTSCOL,QUANTITY
dc8ba2a5-ae58-4494-a429-e59c0eee1617,"Ethiopia Emerald","4000",150,120,2024-09-25 20:39:10.401666,50,"Ethiopia Emerald to kawa, która przenosi smakoszy w magiczny świat etiopskich górskich lasów. Znana ze swej wyjątkowości, ta odmiana kawy zachwyca bogatym aromatem i niezwykle złożonym smakiem. Owoce, takie jak jagody i cytrusy, przeplatają się tu z delikatnymi nutami kwiatowymi, tworząc unikalne doświadczenie smakowe. Każda ziarenka tej kawy są starannie zbierane ręcznie i suszone na słońcu, aby zachować pełnię smaku. Ethiopia Emerald to idealny wybór dla miłośników kawy, którzy pragną podróży przez smakowe tajniki Etiopii. Zapewnia nie tylko doskonały poranek, ale także wyjątkowe chwile relaksu podczas każdej filiżanki.","Ethiopia Emerald to wyjątkowa odmiana kawy o intensywnym smaku i aromacie. Pochodzi z malowniczych plantacji Etiopii, gdzie starannie dojrzewa w cieniu górskich lasów. Ta kawa zachwyca nutami owoców i delikatnym kwiatowym posmakiem.",null,ACTIVE,null,12
f93b7c60-728d-4413-8231-c38304ff919e,"Ethiopia Tradition","4001",90,,,50,"Ethiopia Tradition to podróż przez kawowe korzenie Etiopii. Starannie dojrzewające ziarna tej kawy są zbierane na malowniczych plantacjach, gdzie tradycja uprawy sięga wieków. Ta wyjątkowa odmiana kawy zachwyca aromatem owoców jagodowych i subtelnymi nutami kwiatowymi. Podczas zaparzania Ethiopia Tradition odkryjesz bogactwo smaku, które przenosi Cię do serca etiopskich górskich lasów. Delikatna kwasowość i aksamitna tekstura nadają tej kawie wyjątkowy charakter. To idealny wybór dla miłośników kawy, którzy pragną odkryć autentyczność etiopskich tradycji kawowych. Zapomnij o codziennym pośpiechu i zanurz się w smakowej podróży, jaką oferuje Ethiopia Tradition. Każda filiżanka to spotkanie z historią i kultura tego fascynującego kraju.","Ethiopia Tradition - wyjątkowa kawa z Etiopii, bogata w smak i aromat. Odkryj tradycję kawową Etiopii w każdej filiżance.",null,ACTIVE,null,45
deacbd60-9d26-4d4c-bc08-af872a0245d6,"Ethiopia Adventures","4002",160,128,2024-09-25 20:39:10.401666,50,"Ethiopia Adventures to niezwykła kawa, która przenosi Cię w egzotyczną podróż po Etiopii. Ziarna tej kawy rosną na malowniczych plantacjach w górach, gdzie klimat i gleba nadają im wyjątkowy charakter. Podczas degustacji Ethiopia Adventures odkryjesz fascynujący zestaw smaków. Nuty owoców jagodowych, delikatna kwasowość i subtelne nuty kwiatowe tworzą niezapomniane doświadczenie smakowe. To kawa, która opowiada historię Etiopii i jej kawowej tradycji. Ethiopia Adventures to doskonały wybór dla miłośników kawy, którzy chcą eksplorować różnorodność smaków i aromatów świata. Każda filiżanka tej kawy to zaproszenie do podróży przez egzotyczny krajobraz Etiopii i jej fascynującą kulturę.","Ethiopia Adventures - kawa, która zabierze Cię w niesamowitą podróż przez smakowe tajemnice Etiopii. Odkryj przygodę w każdej filiżance.",null,ACTIVE,null,76
f7d21472-688c-4049-95ce-a466a14cfcf0,"Ethiopia Aroma","4003",150,,,50,"Ethiopia Aroma to kawa, która w jednej filiżance przenosi Cię na wyprawę po aromatycznych krajobrazach Etiopii. Te wyjątkowe ziarna pochodzą z malowniczych plantacji w górach tego fascynującego kraju, gdzie dojrzewają w idealnych warunkach. W trakcie degustacji Ethiopia Aroma odkryjesz głęboki smak z nutami owoców jagodowych i subtelnymi akcentami kwiatowymi. To prawdziwa kawa dla koneserów, oferująca wyjątkowe doświadczenie smakowe. Ethiopia Aroma to nie tylko kawa, to także opowieść o bogatej kawowej tradycji Etiopii. Każda filiżanka tej kawy to zaproszenie do eksploracji tajemniczego świata etiopskich aromatów i aromatycznych przygód.","Ethiopia Aroma - kawa z Etiopii, która zachwyca wyjątkowym aromatem i głębokim smakiem. Odkryj esencję etiopskiej przyjemności w każdej filiżance.",null,ACTIVE,null,89
4bdf3e97-e302-4919-8c5d-df7f8185da58,"Ethiopia Full Capacity","4004",200,150,2024-09-25 20:39:10.401666,50,"Ethiopia Full Capacity to kawa, która w pełni ukazuje smakową moc Etiopii. Te wyjątkowe ziarna pochodzą z górskich plantacji, gdzie dojrzewają w mikroklimatach sprzyjających wyjątkowym smakom. Podczas degustacji Ethiopia Full Capacity odkryjesz intensywny smak z nutami owoców jagodowych, delikatną kwasowością i aksamitną teksturą. To kawa dla prawdziwych miłośników kawy, którzy cenią jej bogactwo i głębię. Każda filiżanka tej kawy to podróż przez krajobrazy Etiopii i jej smakowe bogactwo. Ethiopia Full Capacity to wyjątkowy wybór dla tych, którzy poszukują kawy, która dostarczy im pełnię aromatycznej przyjemności.","Ethiopia Full Capacity - kawa pełna intensywności i aromatu. Odkryj potencjał smakowy Etiopii w każdej filiżance.",null,ACTIVE,null,33
366df554-c5da-4f9f-b099-2c1ce0951df5,"Ethiopia Golden Age","4005",149,,,50,"Ethiopia Golden Age to kawa, która przenosi nas w złoty wiek etiopskiej kawowej tradycji. Ziarna tej kawy rosną na urokliwych plantacjach w górach Etiopii, gdzie od wieków kawa jest częścią kultury. Podczas degustacji Ethiopia Golden Age poczujesz wyjątkowe połączenie smaków - od owoców jagodowych po delikatne nuty kwiatowe. To kawa, która kusi intensywnym aromatem i głębokim smakiem. Każda filiżanka tej kawy to powrót do złotego wieku Etiopii, kiedy to kawowa tradycja kwitła w pełni. Ethiopia Golden Age to hołd dla tej historii i kultury, którą można teraz docenić w każdej filiżance.","Ethiopia Golden Age - kawa, która przynosi smakowy złoty wiek Etiopii. Odkryj bogactwo aromatów i tradycji w każdej filiżance.",null,ACTIVE,null,55
24da3997-1654-4651-8e17-f8813742ae83,"Ethiopia of Ethiopia","4006",120,102,2024-09-25 20:39:10.401666,50,"Ethiopia of Ethiopia to kawa, która przenosi Cię w serce samej Etiopii. Ziarna tej kawy są starannie zbierane na tradycyjnych plantacjach tego afrykańskiego kraju, gdzie kawa ma długą i bogatą historię. Podczas degustacji Ethiopia of Ethiopia doświadczysz pełnego spektrum smaków, od intensywnych owocowych nut po delikatne akcenty kwiatowe. To kawa, która opowiada historię i kulturę Etiopii w każdym łyku. Każda filiżanka tej kawy to podróż przez krajobrazy Etiopii i jej smakowe bogactwo. Ethiopia of Ethiopia to nie tylko kawa, to także zaproszenie do odkrycia tego fascynującego kraju w każdej filiżance.","Ethiopia of Ethiopia - kawa, która jest prawdziwą esencją Etiopii. Odkryj smak i aromat tego fascynującego kraju w każdej filiżance.",null,ACTIVE,null,21
13da61c3-0406-44ad-8630-7f921fc87112,"Ethiopia Rest","4007",79,,,50,"Ethiopia Rest to kawa, która przenosi Cię w stan błogiego wytchnienia, jak w najlepszym etiopskim spokoju. Ziarna tej kawy są starannie zbierane na plantacjach w górach Etiopii, gdzie przyroda i tradycja tworzą wyjątkowy spokój. Podczas degustacji Ethiopia Rest doświadczysz delikatnego smaku z nutami owoców jagodowych i subtelnymi akcentami kwiatowymi. To kawa, która pozwala odpocząć i cieszyć się chwilą. Każda filiżanka tej kawy to zaproszenie do relaksu i odkrywania spokoju Etiopii. Ethiopia Rest to wyjątkowy wybór dla tych, którzy pragną zatrzymać się na chwilę i cieszyć się aromatycznym wyciszeniem przy filiżance kawy.","Ethiopia Rest - kawa, która oferuje chwilę wytchnienia w każdej filiżance. Odkryj spokój Etiopii w aromatycznej kawie.",null,ACTIVE,null,1
b8dd4b03-b234-4f23-9750-e8e5d5dcf7fd,"Ethiopia Strong","4008",139,,,50,"Ethiopia Strong to kawa, która zapewnia intensywny smak i wyrazistość Etiopii. Ziarna tej kawy pochodzą z górskich plantacji, gdzie dojrzewają w surowym i wymagającym klimacie. Podczas degustacji Ethiopia Strong odkryjesz mocny smak z nutami gorzkiej czekolady i wyraźną kwasowością. To kawa, która pozwala cenić sobie jej wyrazisty charakter. Każda filiżanka tej kawy to wyzwanie i przygoda smakowa. Ethiopia Strong to doskonały wybór dla tych, którzy preferują kawy o intensywnym smaku i pragną poczuć esencję siły Etiopii w każdym łyku.","Ethiopia Strong - kawa o intensywnym charakterze. Odkryj moc i wyrazistość Etiopii w każdej filiżance.",null,ACTIVE,null,7
1cfc1c4f-a67c-4af5-a664-d41ee231c308,"Ethiopia Sunrise","4009",80,72,2024-09-25 20:39:10.401666,50,"Ethiopia Sunrise to kawa, która ożywia zmysły tak, jak wschód słońca nad pięknymi górami Etiopii. Te wyjątkowe ziarna pochodzą z malowniczych plantacji, gdzie kawa jest nieodłączną częścią życia. Podczas degustacji Ethiopia Sunrise poczujesz świeżość z nutami owoców cytrusowych i delikatną kwasowością. To kawa, która pobudza zmysły i dodaje energii na cały dzień. Każda filiżanka tej kawy to spotkanie z rześkością i witalnością Etiopii. Ethiopia Sunrise to idealny wybór dla tych, którzy cenią sobie energetyzującą moc kawy i chcą rozpocząć dzień od świeżego startu.","Ethiopia Sunrise - kawa, która budzi z rana jak pierwsze promienie słońca nad etiopskimi górami. Odkryj świeżość Etiopii w każdej filiżance.",null,ACTIVE,null,68
376a3c26-da48-420d-a600-713efa60cb06,"Wietnam Advenures","4010",160,128,2024-09-25 20:39:10.401666,45,"Wietnam Adventures to kawa, która przenosi Cię w serce egzotycznego Wietnamu. Ziarna tej kawy są starannie zbierane na malowniczych plantacjach tego kraju, gdzie kawa jest nieodłącznym elementem kultury i tradycji. Podczas degustacji Wietnam Adventures odkryjesz smaki, które wywołają uczucie przygody. Nuty orzechów, karmelu i delikatnej przyprawy tworzą unikalny i wyrafinowany smak. To kawa, która zachwyca nie tylko aromatem, ale także bogactwem smakowym. Każda filiżanka tej kawy to zaproszenie do odkrywania smakowych zakątków Wietnamu. Wietnam Adventures to doskonały wybór dla miłośników kawy, którzy pragną eksplorować różnorodność smaków i aromatów tego fascynującego kraju.","Wietnam Adventures - kawa, która zabierze Cię w fascynującą podróż przez smaki i aromaty Wietnamu. Odkryj przygodę w każdej filiżance.",null,ACTIVE,null,92
61e3d557-3f97-4134-8296-f3be2918f6d6,"Wietnam Aroma","4011",150,,,45,"Wietnam Aroma to kawa, która przenosi Cię w świat zapachów i smaków Wietnamu. Ziarna tej kawy są starannie zbierane na urokliwych plantacjach tego kraju, gdzie kawa jest integralną częścią życia. Podczas degustacji Wietnam Aroma odkryjesz wyjątkowy aromat z nutami korzennymi i subtelnymi akcentami czekolady. To kawa, która nie tylko rozpieszcza podniebienie, ale także koi zmysły swoim bogactwem zapachowym. Każda filiżanka tej kawy to podróż przez aromatyczny krajobraz Wietnamu. Wietnam Aroma to doskonały wybór dla miłośników kawy, którzy chcą odkryć esencję tego fascynującego kraju w każdym łyku.","Wietnam Aroma - kawa o niezwykłym aromacie Wietnamu. Odkryj bogactwo zapachów i smaków tego fascynującego kraju w każdej filiżance.",null,ACTIVE,null,18
c9672096-099a-47ce-b52f-5b44c8313fdd,"Wietnam Full Capacity","4012",200,150,2024-09-25 20:39:10.401666,45,"Wietnam Full Capacity to kawa, która prezentuje pełną moc i intensywność smaków Wietnamu. Ziarna tej kawy pochodzą z malowniczych plantacji tego kraju, gdzie tradycja uprawy kawy jest długa i bogata. Podczas degustacji Wietnam Full Capacity doświadczysz silnego smaku z nutami gorzkiej czekolady i wyraźną kwasowością. To kawa, która budzi zmysły i dodaje energii na cały dzień. Każda filiżanka tej kawy to zaproszenie do odkrywania potencjału smakowego Wietnamu. Wietnam Full Capacity to idealny wybór dla tych, którzy cenią sobie kawę o intensywnym smaku i pragną doświadczyć esencji mocy tego fascynującego kraju.","Wietnam Full Capacity - kawa o pełnej mocy i intensywnym smaku. Odkryj potencjał smakowy Wietnamu w każdej filiżance.",null,ACTIVE,null,1
a8d352a2-c42f-4ce4-8f39-04853ab10d36,"Kolumbia Emerald","4013",150,120,2024-09-25 20:39:10.401666,35,"Kolumbia Emerald to kawa, która jest prawdziwym klejnotem w świecie kawowych smaków. Ziarna tej kawy są starannie zbierane na urokliwych plantacjach Kolumbii, gdzie klimat i gleba nadają jej wyjątkowy charakter. Podczas degustacji Kolumbia Emerald odkryjesz smak o niezwykłym bogactwie, z delikatnymi nutami owoców i aksamitną teksturą. To kawa, która zachwyca zarówno aromatem, jak i głębokością smaku. Każda filiżanka tej kawy to spotkanie z elegancją i wyrafinowaniem. Kolumbia Emerald to doskonały wybór dla miłośników kawy, którzy cenią sobie kawowe brylanty i pragną eksplorować wyjątkowe smaki Kolumbii.","Kolumbia Emerald - kawa, która emanuje szlachetnym blaskiem. Odkryj brylant wśród kaw w każdej filiżance.",null,ACTIVE,null,59
c222d872-e904-4f59-87b8-8c51046644b2,"Kolumbia Strong","4014",139,,,35,"Kolumbia Strong to kawa, która emanuje wyjątkową siłą i intensywnością smaku. Ziarna tej kawy są starannie zbierane na malowniczych plantacjach Kolumbii, gdzie kawa ma długą i bogatą historię. Podczas degustacji Kolumbia Strong doświadczysz intensywnego smaku z wyrazistymi nutami gorzkiej czekolady i głęboką kwasowością. To kawa, która pobudza zmysły i dodaje energii na cały dzień. Każda filiżanka tej kawy to zaproszenie do odkrywania potencjału smakowego Kolumbii. Kolumbia Strong to idealny wybór dla tych, którzy cenią sobie kawę o wyjątkowej sile i pragną doświadczyć potęgi tego fascynującego kraju.","Kolumbia Strong - kawa o wyjątkowej sile i intensywnym smaku. Odkryj potęgę Kolumbii w każdej filiżance.",null,ACTIVE,null,87
906deb8b-3ff7-478d-b74b-5b9d38efdb3e,"Kolumbia Sunrise","4015",80,72,2024-09-25 20:39:10.401666,35,"Kolumbia Sunrise to kawa, która ożywia zmysły tak, jak wschód słońca nad pięknymi kolumbijskimi górami. Te wyjątkowe ziarna pochodzą z malowniczych plantacji, gdzie kawa jest nieodłączną częścią życia. Podczas degustacji Kolumbia Sunrise poczujesz świeżość z nutami owoców cytrusowych i subtelną kwasowością. To kawa, która dodaje energii i pomaga rozpocząć dzień pełen wigoru. Każda filiżanka tej kawy to podróż przez aromatyczny krajobraz Kolumbii. Kolumbia Sunrise to idealny wybór dla tych, którzy cenią sobie energetyczny początek dnia i chcą poczuć esencję rześkości tego fascynującego kraju.","Kolumbia Sunrise - kawa, która budzi z rana jak pierwsze promienie słońca nad kolumbijskimi górami. Odkryj świeżość Kolumbii w każdej filiżance.",null,ACTIVE,null,24
75d740d1-e491-4315-b3fe-802e4e3bf015,"Kolumbia Tradition","4016",90,,,35,"Kolumbia Tradition to kawa, która przenosi nas w serce tradycji i kultury Kolumbii. Ziarna tej kawy są starannie zbierane na malowniczych plantacjach tego kraju, gdzie kawa jest nieodłącznym elementem życia. Podczas degustacji Kolumbia Tradition odkryjesz smak, który opowiada historię Kolumbii. Nuty orzechowe, delikatna kwasowość i aksamitna tekstura tworzą niezapomniane doświadczenie smakowe. Każda filiżanka tej kawy to podróż przez smakowe tradycje Kolumbii. Kolumbia Tradition to doskonały wybór dla miłośników kawy, którzy pragną odkryć dziedzictwo smaków tego fascynującego kraju.","Kolumbia Tradition - kawa, która odzwierciedla tradycję i smak Kolumbii. Odkryj dziedzictwo smaków w każdej filiżance.",null,ACTIVE,null,100
a3a15c02-2087-493f-99cc-bbe63f41c5e6,"Kostaryka Emerald","4017",150,120,2024-09-25 20:39:10.401666,40,"Kostaryka Emerald to kawa, która jest prawdziwym klejnotem w świecie kawowych smaków. Ziarna tej kawy są starannie zbierane na malowniczych plantacjach Kostaryki, gdzie kawa jest nieodłącznym elementem kultury i tradycji. Podczas degustacji Kostaryka Emerald odkryjesz smak o niezwykłym bogactwie, z delikatnymi nutami owoców i aksamitną teksturą. To kawa, która zachwyca zarówno aromatem, jak i głębokością smaku. Każda filiżanka tej kawy to spotkanie z elegancją i wyrafinowaniem. Kostaryka Emerald to doskonały wybór dla miłośników kawy, którzy cenią sobie kawowe brylanty i pragną eksplorować wyjątkowe smaki Kostaryki.","Kostaryka Emerald - kawa, która emanuje szlachetnym blaskiem. Odkryj brylant wśród kaw w każdej filiżance.",null,ACTIVE,null,3
d6666f00-3615-45c4-9bf8-f3a132cfbcaa,"Kostaryka Sunrise","4018",80,72,2024-09-25 20:39:10.401666,40,"Kostaryka Sunrise to kawa, która ożywia zmysły tak, jak wschód słońca nad pięknymi kostarykańskimi górami. Te wyjątkowe ziarna pochodzą z malowniczych plantacji, gdzie kawa jest nieodłączną częścią życia. Podczas degustacji Kostaryka Sunrise poczujesz świeżość z nutami owoców cytrusowych i subtelną kwasowością. To kawa, która dodaje energii i pomaga rozpocząć dzień pełen wigoru. Każda filiżanka tej kawy to podróż przez aromatyczny krajobraz Kostaryki. Kostaryka Sunrise to idealny wybór dla tych, którzy cenią sobie energetyczny początek dnia i chcą poczuć esencję rześkości tego fascynującego kraju.","Kostaryka Sunrise - kawa, która budzi z rana jak pierwsze promienie słońca nad kostarykańskimi górami. Odkryj świeżość Kostaryki w każdej filiżance.",null,ACTIVE,null,70
4a24b0a3-ea22-4f52-a567-e8a15338135b,"Kostaryka Tradition","4019",90,,,40,"Kostaryka Tradition to kawa, która przenosi nas w serce tradycji i kultury Kostaryki. Ziarna tej kawy są starannie zbierane na malowniczych plantacjach tego kraju, gdzie kawa jest nieodłącznym elementem życia. Podczas degustacji Kostaryka Tradition odkryjesz smak, który opowiada historię Kostaryki. Nuty orzechowe, delikatna kwasowość i aksamitna tekstura tworzą niezapomniane doświadczenie smakowe. Każda filiżanka tej kawy to podróż przez smakowe tradycje Kostaryki. Kostaryka Tradition to doskonały wybór dla miłośników kawy, którzy pragną odkryć dziedzictwo smaków tego fascynującego kraju.","Kostaryka Tradition - kawa, która odzwierciedla tradycję i smak Kostaryki. Odkryj dziedzictwo smaków w każdej filiżance.",null,ACTIVE,null,37
7cc3b7f5-11d2-4034-b975-d6ebbeadca14,"Filrt do kawy","4020",40,,,10,"Filtry do kawy to kluczowy element procesu parzenia kawy. Nasze filtry są wykonane z najwyższej jakości papieru, co gwarantuje, że kawa będzie smakować doskonale i zachowa swoją czystość aromatu. Dzięki precyzyjnemu wykonaniu i idealnym rozmiarom, filtry pasują do większości kawowych ekspresów i dripperów. Niezależnie od tego, czy parzysz kawę codziennie rano w domu, czy też przygotowujesz ją na większą skalę w kawiarni, nasze filtry są niezastąpione. Są łatwe w użyciu, co pozwala Ci cieszyć się ulubionym napojem bez zbędnego stresu. Dzięki naszym filtrom do kawy, Twoja kawa zyska na smaku, zachowując wszystkie subtelne niuanse aromatu. To nie tylko produkt, to klucz do doskonałego kawowego doświadczenia, które możesz teraz mieć w zasięgu ręki.","Filtry do kawy - Twoje niezbędne narzędzie do przygotowania idealnej kawy. Wykonane z wysokiej jakości papieru, zapewniają czysty smak i łatwość przygotowania.",null,ACTIVE,null,6